name = TXT_LEPIDOPTERAN
type = WAY_RACE
race_type = RACE_HUMAN
tier = 8
baseHp = 0
baseMana = 0
baseShield = 8
baseDamageMult = 0
baseSoulBurn = 0
baseFlow = 0
baseVisionRange = 10
baseVisionPower = 6
baseDetectionRange = 1
hpIncr = 5
manaIncr = 5
shieldIncr = 0
damageMultIncr = 1
soulBurnIncr = 1
flowIncr = 2
size = 0.3
height = 1.8
need_to_eat = true
can_eat_food = true
need_to_sleep = true
need_to_think = true
has_soulspark = false
action_time_modifier = 1.0
strike_time_modifier = 1.0
skill_time_modifier = 1.0
movement_time_modifier = 1.0
loot = TXT_HOMO_MEAT%TXT_HOMO_MEAT%TXT_HOMO_MEAT%TXT_HOMO_MEAT%TXT_HOMO_MEAT%
effects =
skills =
stances =
tags = human%lepidopteran%laxito%forest_dweller%magus%omnivorous%
