name = TXT_NO_RACE
type = WAY_RACE
race_type = RACE_NONE
baseHp = 0
baseMana = 0
baseArmor = 0
baseArmorMult = 0
baseDamageMult = 0
baseSoulBurn = 0
baseFlow = 0
baseVisionRange = 0
baseVisionPower = 0
baseDetectionRange = 0
hpIncr = 0
manaIncr = 0
armorMultIncr = 0
damageMultIncr = 0
soulBurnIncr = 0
flowIncr = 0
size = 0.01
need_to_eat = true
can_eat_food = true
need_to_sleep = true
has_soulspark = false
action_time_modifier = 1.F
strike_time_modifier = 1.F
skill_time_modifier = 1.F
movement_time_modifier = 1.F
loot =
effects =
skills =
