Hp = Hp%
Mana = Mana%
Armor = Armor%
Soulburn = Soulburn%
Flow = Flow%
Vision Range = Vision Range%
Vision Power = Vision Power%
Detection Range = Detection Range%
Experience = Experience%
Level = Level%
Gold = Gold%
CLASS = CLASS%
RACE = RACE%
ORIGIN = ORIGIN%
CULTURE = CULTURE%
RELIGION = RELIGION%
PROFESSION = PROFESSION%
CHARACTER = CHARACTER%
Name = Name%
CONFIRM CHARACTER CREATION = CONFIRM CHARACTER CREATION%
WAITING FOR OTHER PLAYERS... = WAITING FOR OTHER PLAYERS...%
CONTROLS = CONTROLS%
NUMPAD = NUMPAD%
MOVE = MOVE%
ATTACK = ATTACK%
REST = REST%
LOOT = LOOT%
OPEN = OPEN%
USE SKILL = USE SKILL%
SHOOT = SHOOT%
