TXT_HOUSE_WEST
11
11
false
wall_wood wall_wood wall_wood wall_wood wall_stone torch_wall wall_stone wall_wood wall_wood wall_wood wall_wood
wall_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood wall_wood
wall_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood wall_wood
wall_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood wall_wood
wall_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_stone wall_stone
door floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_stone fireplace
wall_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_stone wall_stone
wall_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood wall_wood
wall_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood wall_wood
wall_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood wall_wood
wall_wood wall_wood wall_wood wall_wood wall_wood torch_wall wall_wood wall_wood wall_wood wall_wood wall_wood
