TXT_HOUSE_EAST
11
11
false
wall_wood wall_wood wall_wood wall_wood wall_stone torch_wall wall_stone wall_wood wall_wood wall_wood wall_wood
wall_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood wall_wood
wall_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood wall_wood
wall_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood wall_wood
wall_stone floor_stone floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood wall_wood
fireplace floor_stone floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood door
wall_stone floor_stone floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood wall_wood
wall_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood wall_wood
wall_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood wall_wood
wall_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood wall_wood
wall_wood wall_wood wall_wood wall_wood wall_wood torch_wall wall_wood wall_wood wall_wood wall_wood wall_wood
