name = TXT_ELEMENTALIST
archetype = none
baseHp = 150
baseMana = 350
baseArmor = 5
baseDamage = -5
baseSoulBurn = 50
baseFlow = 50
baseVisionRange = 0
baseVisionPower = 0
baseDetectionRange = 0
hpIncr = 0
manaIncr = 0
armorIncr = 0
damageIncr = 0
soulBurnIncr = 0
flowIncr = 0
items =
weapons = TXT_SHORT_BOW%
ammunition = TXT_WOOD_ARROW|5%
effects =
skills =
head = none
arms = none
legs = TXT_LEATHER_BOOTS
body = TXT_LEATHER_CUIRASS
lantern = none
left_ring = none
right_ring = none
amulet = none
weapon = TXT_SHORT_SWORD
